plot_id,genotype,rep,row,column
P001,TX430,1,1,1
P002,BTx623,1,1,2
P003,RTx436,1,1,3
P004,SC35,1,1,4
P005,Macia,1,1,5
P006,P898012,1,1,6
P007,Segaolane,1,1,7
P008,Tx7000,1,1,8
P009,ATx631,1,1,9
P010,BTx642,1,1,10
P011,RTx2536,1,1,11
P012,SC170,1,1,12
P013,IS3620C,1,1,13
P014,BTx3197,1,1,14
P015,RTx7078,1,1,15
P016,SC1103,1,2,1
P017,Grassl,1,2,2
P018,ATx399,1,2,3
P019,BTx645,1,2,4
P020,PI229828,1,2,5
P021,PI267617,1,2,6
P022,PI297130,1,2,7
P023,PI391665,1,2,8
P024,PI455230,1,2,9
P025,Rio,1,2,10
P026,Shallu,1,2,11
P027,Sugardrip,1,2,12
P028,Tracy,1,2,13
P029,Wheatland,1,2,14
P030,BTx406,1,2,15
P031,RTx430,1,3,1
P032,SC283,1,3,2
P033,ATx623,1,3,3
P034,IS12555,1,3,4
P035,M35-1,1,3,5
P036,N98,1,3,6
P037,PI257599,1,3,7
P038,PI534137,1,3,8
P039,PI609251,1,3,9
P040,Redlan,1,3,10
P041,TX430,2,3,11
P042,BTx623,2,3,12
P043,RTx436,2,3,13
P044,SC35,2,3,14
P045,Macia,2,3,15
P046,P898012,2,4,1
P047,Segaolane,2,4,2
P048,Tx7000,2,4,3
P049,ATx631,2,4,4
P050,BTx642,2,4,5
P051,RTx2536,2,4,6
P052,SC170,2,4,7
P053,IS3620C,2,4,8
P054,BTx3197,2,4,9
P055,RTx7078,2,4,10
P056,SC1103,2,4,11
P057,Grassl,2,4,12
P058,ATx399,2,4,13
P059,BTx645,2,4,14
P060,PI229828,2,4,15
P061,PI267617,2,5,1
P062,PI297130,2,5,2
P063,PI391665,2,5,3
P064,PI455230,2,5,4
P065,Rio,2,5,5
P066,Shallu,2,5,6
P067,Sugardrip,2,5,7
P068,Tracy,2,5,8
P069,Wheatland,2,5,9
P070,BTx406,2,5,10
P071,RTx430,2,5,11
P072,SC283,2,5,12
P073,ATx623,2,5,13
P074,IS12555,2,5,14
P075,M35-1,2,5,15
P076,N98,2,6,1
P077,PI257599,2,6,2
P078,PI534137,2,6,3
P079,PI609251,2,6,4
P080,Redlan,2,6,5
P081,TX430,3,6,6
P082,BTx623,3,6,7
P083,RTx436,3,6,8
P084,SC35,3,6,9
P085,Macia,3,6,10
